user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
carlitos,1323084232,996313,05/12/2011 11:23,yes,12,1.51,8.1,-94.4,3,5.587755,#DIV/0!,#DIV/0!,2.713152,#DIV/0!,#DIV/0!,-94.3,3,5.6,-94.4,3,5.6,0.1,0,0.0000,0,1.5,0.1,0,8.1,0,0,-94.4,0,0,0.02,0,-0.02,-20,4,22,-3,601,-318,-129,20.7,-161,34,0,-128.4898,0.5051,0.2551,21.4327,0.4836,0.2339,-161,0,0,-0.02,0,-0.02,-289,110,-125,-374,350,516,-1.05825,#DIV/0!,#DIV/0!,0.13832,#DIV/0!,#DIV/0!,22.3,-161,34,20.7,-161,34,1.6,0,0,13,-70.7,-84.7,-0.6209,-0.6149,#DIV/0!,-0.0960,0.1049,#DIV/0!,-70.1,-84.3,-0.6,-71,-85.3,-0.6,0.96,1.02,0.00,37,0.0204,13.1942,0.1811,0.0328,-70.5253,0.2384,0.0568,-84.8053,0.256,0.0656,0,-0.02,0,-235,47,-271,-558,291,-71,27.1,-63.7,-151,-0.3680,-2.0402,#DIV/0!,0.2113,-0.2117,#DIV/0!,-63.7,-151,-0.4,-64,-152,-0.4,0.3,1,0.00,36,0,27.40204,0.45893,0.21062,-63.89388,0.07474,0.00559,-151.44898,0.50254,0.25255,0.03,-0.03,0,193,203,-213,-11,661,470,A
carlitos,1323084233,948290,05/12/2011 11:23,yes,13,1.27,7.56,-94.1,3,-0.997130,#DIV/0!,#DIV/0!,0.007518,#DIV/0!,#DIV/0!,-94.1,3,-1.0,-94.4,3,-1.0,0.3,0,0.0000,0,1.4,0.1,0,7.9,0.2,0,-94.3,0.1,0.01,0,0,-0.03,-19,4,21,0,601,-312,-130,19.4,-162,34,0,-129.6863,0.4686,0.2196,20.0451,0.4491,0.2017,-161.5882,0.4971,0.2471,0.02,-0.02,-0.03,-290,110,-127,-369,348,505,-1.46054,-1.94121,#DIV/0!,0.20074,0.36953,#DIV/0!,20.7,-161,34,19.4,-162,34,1.3,1,0,13.2,-70.4,-84.9,2.1593,1.1355,#DIV/0!,-1.0112,0.7419,#DIV/0!,-70,-83.9,2.2,-71.4,-85.3,2.2,1.41,1.39,0.00,37,0.0196,13.1455,0.3015,0.0909,-70.4565,0.2687,0.0722,-84.886,0.2864,0.082,-0.02,-0.02,-0.02,-232,47,-269,-561,289,-61,24.9,-63.8,-149,-0.6814,-1.3020,#DIV/0!,0.6098,0.0685,#DIV/0!,-63.6,-149,-0.7,-63.9,-151,-0.7,0.3,2,0.00,36,0,26.18627,0.57585,0.33161,-63.79412,0.10082,0.01016,-150.03922,0.77358,0.59843,0.02,0,-0.05,190,207,-216,-10,653,467,A
carlitos,1323084234,984276,05/12/2011 11:23,yes,14,1.18,7.26,-94.1,3,7.515290,#DIV/0!,#DIV/0!,-3.031527,#DIV/0!,#DIV/0!,-94.1,3,7.5,-94.2,3,7.5,0.1,0,0.0000,0,1.2,0,0,7.4,0.1,0,-94.1,0,0,0.02,0,-0.03,-20,3,22,-8,602,-309,-131,18.1,-162,34,0,-130.7826,0.417,0.1739,18.7435,0.3716,0.1381,-162,0,0,0.02,-0.03,-0.02,-289,110,-122,-369,341,510,-1.10021,#DIV/0!,#DIV/0!,-0.03359,#DIV/0!,#DIV/0!,19.4,-162,34,18.1,-162,34,1.3,0,0,12.9,-70.5,-85,0.3758,1.4197,#DIV/0!,0.0809,0.1242,#DIV/0!,-70,-83.6,0.4,-71.5,-85.4,0.4,1.43,1.8,0.00,37,0.0217,13.2357,0.3689,0.1361,-70.7346,0.2798,0.0783,-84.5852,0.3249,0.1056,0,-0.02,-0.03,-232,46,-269,-563,295,-51,23.4,-63.8,-147,-0.2516,3.2626,#DIV/0!,0.3672,1.9917,#DIV/0!,-63.6,-147,-0.3,-63.9,-149,-0.3,0.3,2,0.00,36,0,24.65,0.4934,0.24344,-63.75217,0.07814,0.00611,-148.73913,0.53478,0.28599,0.06,0,0.03,192,205,-213,-5,653,475,A
carlitos,1323084238,972281,05/12/2011 11:23,yes,18,1.01,7.38,-93.8,4,-2.121212,-1.298590,#DIV/0!,1.044014,0.881390,#DIV/0!,-93.8,4,-2.1,-93.8,3,-2.1,0,1,0.0000,0.2,1,0.1,0,7.1,0.1,0,-93.8,0,0,0.03,0,-0.02,-19,2,29,0,612,-303,-135,13.8,-165,34,0.0278,-134.9444,0.2323,0.054,14.0083,0.2209,0.0488,-164.6389,0.4871,0.2373,0,-0.02,0.02,-289,113,-122,-369,339,527,-0.72850,-1.73520,36.00000,0.78130,0.60377,-6.00000,14.5,-164,34,13.8,-165,33,0.7,1,1,118.1,29.6,-24.6,-1.3191,-1.0736,#DIV/0!,-0.8085,0.1003,#DIV/0!,35.2,-17.6,-1.3,-70.9,-99.8,-1.3,106.15,82.17,0.00,6,230.4278,71.65,42.3081,1789.9732,-6.1339,44.0647,1941.7003,-62.3643,23.2769,541.8151,-0.14,0.35,-0.07,18,57,-15,-464,422,-63,19,-63.4,-143,-0.0781,-0.9848,#DIV/0!,-0.0110,-1.0360,#DIV/0!,-63.4,-143,-0.1,-63.6,-144,-0.1,0.2,1,0.00,36,0,19.375,0.32282,0.10421,-63.49722,0.06088,0.00371,-143.27778,0.45426,0.20635,0.02,0,-0.02,195,205,-213,-10,653,475,A
pedro,1323094970,968279,05/12/2011 14:22,yes,47,129,27.9,2.35,21,-1.122273,19.810708,#DIV/0!,-0.177846,-4.575081,#DIV/0!,2.4,21,-1.1,0.8,20,-1.1,1.59,1,0.0000,0,128.9,0.3,0.1,28.1,0.2,0,1.7,0.5,0.24,-0.43,-0.03,-0.44,-48,71,-186,6,567,-395,-8.6,15.4,10,3,21.0222,-166.5869,34.4585,1187.3854,-7.1253,5.0294,25.2946,137.9933,27.8577,776.052,-0.26,-0.24,0.13,-3,-11,24,-416,309,496,18.71915,19.75148,19.81071,4.39449,-4.56524,-4.57508,15.9,146,25,-9.3,10,3,25.15,136,22,-28.8,16.1,123.9,-0.6179,-0.4068,#DIV/0!,-0.3438,-0.4131,#DIV/0!,23.4,134.3,-0.6,1.1,99.3,-0.6,22.35,35.02,0.00,11,0.6545,-35.2699,8.2509,68.0775,12.9422,6.0945,37.1431,118.7156,7.9148,62.6436,0.47,-0.03,-0.18,17,-30,100,480,-563,-22,81.6,-0.36,107,-1.3144,19.8107,#DIV/0!,0.4102,-4.5751,#DIV/0!,-0.2,107,-1.3,-0.9,106,-1.3,0.67,1,0.00,34,0.26768,82.12889,0.31088,0.09665,-0.59022,0.22372,0.05005,106.95556,0.20841,0.04343,0.18,0.03,-0.03,158,228,-184,-153,753,673,A
pedro,1323094971,980388,05/12/2011 14:22,yes,48,128,27.8,1.52,21,-0.668237,0.988872,#DIV/0!,-0.638799,-1.717824,#DIV/0!,2.7,21,-0.7,1.5,20,-0.7,1.17,1,0.0000,0.2,128.9,0.3,0.1,27.9,0.1,0,2.3,0.3,0.12,-0.47,-0.02,-0.48,-43,69,-187,3,566,-401,-1.12,-3.96,-63.3,3,0.1616,-4.307,2.1189,4.4897,2.9778,5.7029,32.5229,-25.0718,21.5283,463.4656,-0.16,-0.21,0.05,-1,-8,29,-397,318,517,-1.07679,-1.17642,3.65588,0.45981,-0.14758,0.34232,14.6,8.8,4,-4,-63.3,2,18.56,72.13,2,-24.1,17,127.4,0.5776,2.9760,#DIV/0!,0.3351,-1.3408,#DIV/0!,23.6,130.4,0.6,6,111,0.6,17.6,19.42,0.00,10,0.2514,-29.3231,4.1505,17.2266,13.8775,3.9461,15.5718,124.1809,3.8744,15.0111,0.5,-0.11,-0.34,17,-24,96,479,-565,-16,81.5,-2.61,109,-1.3021,-0.2494,#DIV/0!,-0.5589,-0.0673,#DIV/0!,-0.2,109,-1.3,-2.7,107,-1.3,2.51,2,0.00,33,2.82612,80.06,1.17421,1.37878,-1.2918,0.86912,0.75537,108.14,0.60643,0.36776,0.06,-0.02,0.3,147,239,-167,-136,755,674,A
pedro,1323094974,972294,05/12/2011 14:22,yes,51,124,27.6,-2.03,20,-0.684696,-0.605475,#DIV/0!,-0.847382,1.192288,#DIV/0!,1.2,21,-0.7,-2,20,-0.7,3.23,1,0.0000,0.2,126.2,0.8,0.6,27.4,0.3,0.1,0.1,1,1.06,-0.5,-0.02,-0.51,-37,69,-175,-6,578,-372,-160,-69,32.6,36,25.4043,-137.2604,26.1046,681.4501,-54.6667,15.0704,227.118,11.3142,26.7693,716.5955,1.67,-1.25,0.02,347,8,55,651,174,250,-1.39700,3.59486,-0.67859,-0.01884,-2.06464,-0.67310,-32.8,32.6,46,-77.2,-78.7,29,44.4,111.3,17,-3.4,30.7,126.1,1.2107,-0.7197,#DIV/0!,0.7684,0.4106,#DIV/0!,30.7,133.5,1.2,10.6,120.9,1.2,20.11,12.62,0.00,9,0.34,-23.4639,6.0949,37.1478,18.1634,3.9071,15.2658,126.5357,3.3652,11.3248,0.29,-0.08,-0.36,27,-3,85,512,-540,-69,89.2,3.01,105,-1.2273,0.7148,#DIV/0!,0.2921,0.7837,#DIV/0!,5.2,108,-1.2,3,105,-1.2,2.18,3,0.00,36,1.31738,86.38542,1.32006,1.74255,4.07,0.66901,0.44758,106,0.79894,0.6383,0.06,0.05,0.03,146,252,-191,-154,741,578,A
pedro,1323094979,944324,05/12/2011 14:22,yes,55,125,26,-2.08,20,-1.385691,44.000000,#DIV/0!,0.216158,-6.633250,#DIV/0!,-0.7,20,-1.4,-2.1,19,-1.4,1.34,1,0.0000,0,124.8,0.4,0.2,25.7,0.2,0,-1.4,0.4,0.17,-0.53,-0.02,-0.49,-42,72,-179,4,570,-381,148,-12.7,31.1,34,30.1839,144.6136,6.7349,45.3589,-11.7236,12.4996,156.2395,17.8416,16.8559,284.1212,1.93,-1.33,0.03,324,22,83,645,204,255,-0.64101,-0.45042,-0.32889,-0.75988,0.65268,-0.82053,2.6,57.5,46,-38.5,-3,26,41.06,60.5,20,-8.7,26.5,129.1,0.8744,-0.2970,#DIV/0!,-0.4791,-0.3561,#DIV/0!,38,136.6,0.9,2.2,111.9,0.9,35.8,24.72,0.00,9,0.3996,-12.9177,13.1475,172.858,24.3421,7.8107,61.0067,125.9856,5.5031,30.2838,0.58,-0.11,-0.44,24,-8,88,523,-533,-45,103,83.4,111,-1.4844,4.4184,#DIV/0!,-0.0982,2.3865,#DIV/0!,86.9,168,-1.5,47.5,-153,-1.5,39.4,321,0.00,27,4.34408,-91.47727,81.10243,6577.60412,68.16818,13.84482,191.67896,-71.08409,79.28151,6285.55718,-0.56,1.83,0.41,-152,154,-145,-713,346,573,A
pedro,1323094981,984324,05/12/2011 14:23,yes,57,124,25.5,-2.12,20,-0.480396,-2.054174,#DIV/0!,-0.207718,-0.152835,#DIV/0!,-1.5,20,-0.5,-3,19,-0.5,1.48,1,0.0000,0.3,123.6,0.5,0.2,26,0.2,0.1,-2.3,0.4,0.14,-0.39,-0.03,-0.43,-44,70,-178,11,582,-376,132,20.4,-11.1,47,178.5063,121.5741,11.798,139.1925,-10.902,16.0536,257.7193,61.9883,47.0096,2209.8981,-0.63,-0.27,0.18,430,-77,-137,702,-8,-204,-1.07289,-1.43415,-1.28370,0.65705,-0.10319,0.16988,20.4,126,47,-26.4,-11.1,5,46.8,137.1,42,1.2,29.1,127.9,-0.2583,0.1310,#DIV/0!,0.3644,-0.7190,#DIV/0!,52.8,138.9,-0.3,11.7,103.4,-0.3,41.04,35.47,0.00,9,0.8456,-10.4132,12.2245,149.4381,27.6816,8.8491,78.3074,124.7996,8.5042,72.3211,0.4,-0.14,-0.08,24,1,80,518,-533,-58,-128,68.3,-124,-0.5507,-1.9433,#DIV/0!,-0.4035,0.0905,#DIV/0!,79.8,167,-0.6,16.1,-174,-0.6,63.7,341,0.00,32,14.1443,-7.72037,119.79225,14350.18241,53.0963,17.24723,297.46678,-8.84444,115.54338,13350.27157,-0.56,1.73,0,-255,42,-180,-637,-24,325,A
pedro,1323094982,972372,05/12/2011 14:23,yes,58,123,26.3,-3.45,20,-1.374453,-0.405888,#DIV/0!,0.260148,-0.796589,#DIV/0!,-2.1,20,-1.4,-4.2,18,-1.4,2.18,2,0.0000,0.3,123.3,0.7,0.4,26.3,0.4,0.2,-3.2,0.7,0.55,-0.37,-0.05,-0.41,-44,72,-172,2,587,-373,146,-2.52,74.2,20,68.3258,141.5405,5.5707,31.033,11.5608,8.0267,64.4277,29.0589,27.7863,772.0798,1.45,-0.96,-0.25,141,60,124,117,391,523,-1.35100,-1.36583,-1.47027,-0.33979,0.09469,-0.13694,21.3,74.2,46,-2.5,-10.9,20,23.82,85.1,26,-4.2,25.5,131.2,2.9137,0.5003,#DIV/0!,1.4437,-1.0674,#DIV/0!,38,135,2.9,17.6,116.7,2.9,20.41,18.31,0.00,10,0.3634,-11.0964,9.8416,96.8565,24.9154,4.1742,17.4236,128.0307,4.5581,20.7765,0.39,-0.08,-0.46,24,-4,92,516,-531,-73,89.5,16.5,73.3,-1.4431,0.6125,#DIV/0!,-0.3462,-1.4365,#DIV/0!,81.4,172,-1.4,16.5,-174,-1.4,64.9,346,0.00,34,16.89189,56,101.10593,10222.40944,55.14595,22.42574,502.91366,48.80811,97.80665,9566.14132,-0.31,1.46,0.15,118,272,-152,-284,780,704,A
